size,type,algorithm,comparisons,time_ms
100,random,msd_radix_sort,172,0.04868
100,reversed,msd_radix_sort,232,0.03578
100,nearly_sorted,msd_radix_sort,229,0.03628
200,random,msd_radix_sort,390,0.11626
200,reversed,msd_radix_sort,468,0.08462
200,nearly_sorted,msd_radix_sort,476,0.0917
300,random,msd_radix_sort,606,0.19752
300,reversed,msd_radix_sort,719,0.18436
300,nearly_sorted,msd_radix_sort,726,0.18524
400,random,msd_radix_sort,822,0.2206
400,reversed,msd_radix_sort,952,0.15164
400,nearly_sorted,msd_radix_sort,957,0.15732
500,random,msd_radix_sort,1036,0.17768
500,reversed,msd_radix_sort,1198,0.18942
500,nearly_sorted,msd_radix_sort,1191,0.19604
600,random,msd_radix_sort,1254,0.22596
600,reversed,msd_radix_sort,1434,0.23438
600,nearly_sorted,msd_radix_sort,1430,0.23686
700,random,msd_radix_sort,1470,0.25026
700,reversed,msd_radix_sort,1671,0.30694
700,nearly_sorted,msd_radix_sort,1659,0.28492
800,random,msd_radix_sort,1694,0.27514
800,reversed,msd_radix_sort,1920,0.33358
800,nearly_sorted,msd_radix_sort,1894,0.32044
900,random,msd_radix_sort,1916,0.34266
900,reversed,msd_radix_sort,2150,0.38038
900,nearly_sorted,msd_radix_sort,2127,0.36628
1000,random,msd_radix_sort,2145,0.34892
1000,reversed,msd_radix_sort,2394,0.431
1000,nearly_sorted,msd_radix_sort,2371,0.42162
1100,random,msd_radix_sort,2381,0.41634
1100,reversed,msd_radix_sort,2648,0.48578
1100,nearly_sorted,msd_radix_sort,2604,0.46626
1200,random,msd_radix_sort,2619,0.41628
1200,reversed,msd_radix_sort,2896,0.51524
1200,nearly_sorted,msd_radix_sort,2842,0.48642
1300,random,msd_radix_sort,2866,0.48562
1300,reversed,msd_radix_sort,3147,0.55704
1300,nearly_sorted,msd_radix_sort,3090,0.5223
1400,random,msd_radix_sort,3096,0.5323
1400,reversed,msd_radix_sort,3387,0.58796
1400,nearly_sorted,msd_radix_sort,3349,0.56242
1500,random,msd_radix_sort,3358,0.54086
1500,reversed,msd_radix_sort,3639,0.62954
1500,nearly_sorted,msd_radix_sort,3594,0.59678
1600,random,msd_radix_sort,3611,0.58088
1600,reversed,msd_radix_sort,3879,0.68462
1600,nearly_sorted,msd_radix_sort,3833,0.66048
1700,random,msd_radix_sort,3862,0.6493
1700,reversed,msd_radix_sort,4115,0.76524
1700,nearly_sorted,msd_radix_sort,4072,0.73844
1800,random,msd_radix_sort,4111,0.74042
1800,reversed,msd_radix_sort,4353,0.81862
1800,nearly_sorted,msd_radix_sort,4317,0.77208
1900,random,msd_radix_sort,4359,0.77316
1900,reversed,msd_radix_sort,4595,0.83876
1900,nearly_sorted,msd_radix_sort,4562,0.80306
2000,random,msd_radix_sort,4617,0.83312
2000,reversed,msd_radix_sort,4838,0.90418
2000,nearly_sorted,msd_radix_sort,4805,0.86476
2100,random,msd_radix_sort,4889,0.88294
2100,reversed,msd_radix_sort,5083,0.93958
2100,nearly_sorted,msd_radix_sort,5050,0.91086
2200,random,msd_radix_sort,5145,0.93314
2200,reversed,msd_radix_sort,5328,0.99686
2200,nearly_sorted,msd_radix_sort,5297,0.9376
2300,random,msd_radix_sort,5404,0.9859
2300,reversed,msd_radix_sort,5575,1.02618
2300,nearly_sorted,msd_radix_sort,5551,1.01426
2400,random,msd_radix_sort,5664,1.03886
2400,reversed,msd_radix_sort,5828,1.15898
2400,nearly_sorted,msd_radix_sort,5796,0.97472
2500,random,msd_radix_sort,5930,0.97346
2500,reversed,msd_radix_sort,6069,0.97044
2500,nearly_sorted,msd_radix_sort,6027,0.94698
2600,random,msd_radix_sort,6192,1.1117
2600,reversed,msd_radix_sort,6307,0.99574
2600,nearly_sorted,msd_radix_sort,6276,0.89688
2700,random,msd_radix_sort,6456,1.65532
2700,reversed,msd_radix_sort,6547,1.64458
2700,nearly_sorted,msd_radix_sort,6508,1.0781
2800,random,msd_radix_sort,6719,1.46726
2800,reversed,msd_radix_sort,6792,1.41294
2800,nearly_sorted,msd_radix_sort,6759,1.29748
2900,random,msd_radix_sort,7001,1.37988
2900,reversed,msd_radix_sort,7047,1.27926
2900,nearly_sorted,msd_radix_sort,7016,1.18518
3000,random,msd_radix_sort,7280,1.31026
3000,reversed,msd_radix_sort,7282,1.21026
3000,nearly_sorted,msd_radix_sort,7275,1.10724
