size,type,algorithm,comparisons,time_ms
100,random,msd_radix_sort_hybrid,157,0.01286
100,reversed,msd_radix_sort_hybrid,1851,0.01398
100,nearly_sorted,msd_radix_sort_hybrid,798,0.01086
200,random,msd_radix_sort_hybrid,397,0.02538
200,reversed,msd_radix_sort_hybrid,3557,0.0245
200,nearly_sorted,msd_radix_sort_hybrid,1470,0.02214
300,random,msd_radix_sort_hybrid,727,0.02748
300,reversed,msd_radix_sort_hybrid,5045,0.03608
300,nearly_sorted,msd_radix_sort_hybrid,2172,0.02908
400,random,msd_radix_sort_hybrid,1100,0.04658
400,reversed,msd_radix_sort_hybrid,6897,0.05054
400,nearly_sorted,msd_radix_sort_hybrid,2884,0.03904
500,random,msd_radix_sort_hybrid,1512,0.0523
500,reversed,msd_radix_sort_hybrid,8470,0.06278
500,nearly_sorted,msd_radix_sort_hybrid,3654,0.05014
600,random,msd_radix_sort_hybrid,1918,0.07446
600,reversed,msd_radix_sort_hybrid,10471,0.07106
600,nearly_sorted,msd_radix_sort_hybrid,4393,0.06264
700,random,msd_radix_sort_hybrid,2419,0.08646
700,reversed,msd_radix_sort_hybrid,12026,0.08332
700,nearly_sorted,msd_radix_sort_hybrid,5142,0.07706
800,random,msd_radix_sort_hybrid,2904,0.09132
800,reversed,msd_radix_sort_hybrid,13824,0.09906
800,nearly_sorted,msd_radix_sort_hybrid,5882,0.08896
900,random,msd_radix_sort_hybrid,3454,0.10254
900,reversed,msd_radix_sort_hybrid,15314,0.12316
900,nearly_sorted,msd_radix_sort_hybrid,6552,0.1052
1000,random,msd_radix_sort_hybrid,4007,0.12822
1000,reversed,msd_radix_sort_hybrid,17034,0.1375
1000,nearly_sorted,msd_radix_sort_hybrid,7258,0.12018
1100,random,msd_radix_sort_hybrid,4491,0.15316
1100,reversed,msd_radix_sort_hybrid,18796,0.15678
1100,nearly_sorted,msd_radix_sort_hybrid,7993,0.14014
1200,random,msd_radix_sort_hybrid,4995,0.16514
1200,reversed,msd_radix_sort_hybrid,20496,0.16928
1200,nearly_sorted,msd_radix_sort_hybrid,8794,0.14876
1300,random,msd_radix_sort_hybrid,5574,0.18128
1300,reversed,msd_radix_sort_hybrid,22068,0.1904
1300,nearly_sorted,msd_radix_sort_hybrid,9528,0.16746
1400,random,msd_radix_sort_hybrid,6166,0.19974
1400,reversed,msd_radix_sort_hybrid,23999,0.20878
1400,nearly_sorted,msd_radix_sort_hybrid,10271,0.18172
1500,random,msd_radix_sort_hybrid,6768,0.26662
1500,reversed,msd_radix_sort_hybrid,25631,0.23014
1500,nearly_sorted,msd_radix_sort_hybrid,10852,0.19946
1600,random,msd_radix_sort_hybrid,7311,0.2306
1600,reversed,msd_radix_sort_hybrid,27340,0.23562
1600,nearly_sorted,msd_radix_sort_hybrid,11507,0.20798
1700,random,msd_radix_sort_hybrid,7945,0.23748
1700,reversed,msd_radix_sort_hybrid,28805,0.25096
1700,nearly_sorted,msd_radix_sort_hybrid,12139,0.22272
1800,random,msd_radix_sort_hybrid,8582,0.28052
1800,reversed,msd_radix_sort_hybrid,30573,0.25978
1800,nearly_sorted,msd_radix_sort_hybrid,12947,0.23554
1900,random,msd_radix_sort_hybrid,9281,0.27752
1900,reversed,msd_radix_sort_hybrid,32288,0.27546
1900,nearly_sorted,msd_radix_sort_hybrid,13698,0.25026
2000,random,msd_radix_sort_hybrid,9915,0.28924
2000,reversed,msd_radix_sort_hybrid,33891,0.30468
2000,nearly_sorted,msd_radix_sort_hybrid,14414,0.26558
2100,random,msd_radix_sort_hybrid,10728,0.3095
2100,reversed,msd_radix_sort_hybrid,35574,0.31424
2100,nearly_sorted,msd_radix_sort_hybrid,15212,0.29264
2200,random,msd_radix_sort_hybrid,11366,0.36558
2200,reversed,msd_radix_sort_hybrid,37351,0.4224
2200,nearly_sorted,msd_radix_sort_hybrid,15939,0.28962
2300,random,msd_radix_sort_hybrid,12116,0.344
2300,reversed,msd_radix_sort_hybrid,38902,0.31852
2300,nearly_sorted,msd_radix_sort_hybrid,16737,0.27552
2400,random,msd_radix_sort_hybrid,12875,0.29106
2400,reversed,msd_radix_sort_hybrid,40877,0.30316
2400,nearly_sorted,msd_radix_sort_hybrid,17463,0.26614
2500,random,msd_radix_sort_hybrid,13546,0.3236
2500,reversed,msd_radix_sort_hybrid,42677,0.30478
2500,nearly_sorted,msd_radix_sort_hybrid,18116,0.27118
2600,random,msd_radix_sort_hybrid,14256,0.3136
2600,reversed,msd_radix_sort_hybrid,44195,0.36626
2600,nearly_sorted,msd_radix_sort_hybrid,18871,0.30682
2700,random,msd_radix_sort_hybrid,14946,0.33932
2700,reversed,msd_radix_sort_hybrid,45732,0.34634
2700,nearly_sorted,msd_radix_sort_hybrid,19634,0.3153
2800,random,msd_radix_sort_hybrid,15590,0.4476
2800,reversed,msd_radix_sort_hybrid,47470,0.37304
2800,nearly_sorted,msd_radix_sort_hybrid,20425,0.34236
2900,random,msd_radix_sort_hybrid,16322,0.41826
2900,reversed,msd_radix_sort_hybrid,49035,0.41604
2900,nearly_sorted,msd_radix_sort_hybrid,21123,0.37756
3000,random,msd_radix_sort_hybrid,17133,0.42478
3000,reversed,msd_radix_sort_hybrid,50815,0.41558
3000,nearly_sorted,msd_radix_sort_hybrid,21920,0.3462
