size,type,algorithm,comparisons,time_ms
100,random,standard_mergesort,594,0.08874
100,reversed,standard_mergesort,603,0.08572
100,nearly_sorted,standard_mergesort,753,0.07766
200,random,standard_mergesort,1490,0.20912
200,reversed,standard_mergesort,1291,0.24778
200,nearly_sorted,standard_mergesort,1686,0.1494
300,random,standard_mergesort,2515,0.25962
300,reversed,standard_mergesort,2030,0.24178
300,nearly_sorted,standard_mergesort,2705,0.231
400,random,standard_mergesort,3628,0.36924
400,reversed,standard_mergesort,2864,0.3565
400,nearly_sorted,standard_mergesort,3823,0.35882
500,random,standard_mergesort,4827,0.5098
500,reversed,standard_mergesort,3724,0.4496
500,nearly_sorted,standard_mergesort,4814,0.45474
600,random,standard_mergesort,6100,0.63954
600,reversed,standard_mergesort,4438,0.57464
600,nearly_sorted,standard_mergesort,6061,0.55378
700,random,standard_mergesort,7406,0.80076
700,reversed,standard_mergesort,5303,0.69848
700,nearly_sorted,standard_mergesort,7215,0.6739
800,random,standard_mergesort,8769,0.92182
800,reversed,standard_mergesort,6121,0.86032
800,nearly_sorted,standard_mergesort,8700,0.8176
900,random,standard_mergesort,10165,1.05414
900,reversed,standard_mergesort,7018,0.95792
900,nearly_sorted,standard_mergesort,9716,0.9201
1000,random,standard_mergesort,11589,1.15502
1000,reversed,standard_mergesort,7998,1.05746
1000,nearly_sorted,standard_mergesort,10747,0.99578
1100,random,standard_mergesort,13024,1.27462
1100,reversed,standard_mergesort,8673,1.17928
1100,nearly_sorted,standard_mergesort,12288,1.07872
1200,random,standard_mergesort,14497,1.37892
1200,reversed,standard_mergesort,9532,1.24804
1200,nearly_sorted,standard_mergesort,13560,1.20896
1300,random,standard_mergesort,16060,1.4256
1300,reversed,standard_mergesort,10260,1.29094
1300,nearly_sorted,standard_mergesort,15005,1.95104
1400,random,standard_mergesort,17541,1.68492
1400,reversed,standard_mergesort,11213,1.52832
1400,nearly_sorted,standard_mergesort,16349,1.52588
1500,random,standard_mergesort,19114,1.5977
1500,reversed,standard_mergesort,12045,1.43636
1500,nearly_sorted,standard_mergesort,17550,1.35764
1600,random,standard_mergesort,20690,1.76452
1600,reversed,standard_mergesort,13070,1.65016
1600,nearly_sorted,standard_mergesort,19049,1.7356
1700,random,standard_mergesort,22320,2.07328
1700,reversed,standard_mergesort,13917,1.85404
1700,nearly_sorted,standard_mergesort,20154,1.8472
1800,random,standard_mergesort,23865,2.11636
1800,reversed,standard_mergesort,14902,1.9279
1800,nearly_sorted,standard_mergesort,21162,1.92262
1900,random,standard_mergesort,25465,1.93764
1900,reversed,standard_mergesort,15871,1.73058
1900,nearly_sorted,standard_mergesort,22601,1.80352
2000,random,standard_mergesort,27174,2.28204
2000,reversed,standard_mergesort,17104,2.01224
2000,nearly_sorted,standard_mergesort,23578,1.96748
2100,random,standard_mergesort,28796,2.25556
2100,reversed,standard_mergesort,17957,2.21874
2100,nearly_sorted,standard_mergesort,24849,2.1866
2200,random,standard_mergesort,30504,2.83812
2200,reversed,standard_mergesort,18667,2.63944
2200,nearly_sorted,standard_mergesort,27063,2.0076
2300,random,standard_mergesort,32221,2.24628
2300,reversed,standard_mergesort,19355,2.12468
2300,nearly_sorted,standard_mergesort,28304,2.18394
2400,random,standard_mergesort,33913,2.56648
2400,reversed,standard_mergesort,20256,2.4132
2400,nearly_sorted,standard_mergesort,30069,2.3506
2500,random,standard_mergesort,35670,2.7166
2500,reversed,standard_mergesort,20985,2.45668
2500,nearly_sorted,standard_mergesort,31289,2.57832
2600,random,standard_mergesort,37450,2.99666
2600,reversed,standard_mergesort,21964,2.7208
2600,nearly_sorted,standard_mergesort,32973,2.7149
2700,random,standard_mergesort,39126,3.1573
2700,reversed,standard_mergesort,22710,2.90542
2700,nearly_sorted,standard_mergesort,34548,3.0431
2800,random,standard_mergesort,40923,3.82656
2800,reversed,standard_mergesort,23850,3.22684
2800,nearly_sorted,standard_mergesort,35621,3.33644
2900,random,standard_mergesort,42701,4.7437
2900,reversed,standard_mergesort,24737,3.71112
2900,nearly_sorted,standard_mergesort,36860,3.6226
3000,random,standard_mergesort,44533,4.02758
3000,reversed,standard_mergesort,25671,3.6602
3000,nearly_sorted,standard_mergesort,37970,3.5917
