size,type,algorithm,comparisons,time_ms
100,random,standard_quicksort,19981,0.03718
100,reversed,standard_quicksort,23750,0.03544
100,nearly_sorted,standard_quicksort,18154,0.02982
200,random,standard_quicksort,40209,0.06912
200,reversed,standard_quicksort,45415,0.07168
200,nearly_sorted,standard_quicksort,39130,0.06828
300,random,standard_quicksort,64780,0.11266
300,reversed,standard_quicksort,67808,0.10496
300,nearly_sorted,standard_quicksort,60247,0.09814
400,random,standard_quicksort,83297,0.15198
400,reversed,standard_quicksort,89803,0.15688
400,nearly_sorted,standard_quicksort,81517,0.16598
500,random,standard_quicksort,107270,0.21628
500,reversed,standard_quicksort,111733,0.28692
500,nearly_sorted,standard_quicksort,102608,0.20346
600,random,standard_quicksort,127946,0.2578
600,reversed,standard_quicksort,135230,0.22898
600,nearly_sorted,standard_quicksort,125395,0.22936
700,random,standard_quicksort,150048,0.31844
700,reversed,standard_quicksort,158011,0.2955
700,nearly_sorted,standard_quicksort,149386,0.30126
800,random,standard_quicksort,173992,0.3865
800,reversed,standard_quicksort,181067,0.39282
800,nearly_sorted,standard_quicksort,169240,0.33164
900,random,standard_quicksort,194993,0.40452
900,reversed,standard_quicksort,204123,0.3524
900,nearly_sorted,standard_quicksort,187552,0.33654
1000,random,standard_quicksort,219121,0.42972
1000,reversed,standard_quicksort,227363,0.35902
1000,nearly_sorted,standard_quicksort,209297,0.37022
1100,random,standard_quicksort,237652,0.49772
1100,reversed,standard_quicksort,250386,0.39512
1100,nearly_sorted,standard_quicksort,232095,0.3948
1200,random,standard_quicksort,260738,0.50536
1200,reversed,standard_quicksort,272999,0.69448
1200,nearly_sorted,standard_quicksort,252734,0.68956
1300,random,standard_quicksort,280931,0.62998
1300,reversed,standard_quicksort,295214,0.70562
1300,nearly_sorted,standard_quicksort,282156,0.57572
1400,random,standard_quicksort,305662,0.8029
1400,reversed,standard_quicksort,316032,0.67944
1400,nearly_sorted,standard_quicksort,302234,0.68032
1500,random,standard_quicksort,328982,0.74124
1500,reversed,standard_quicksort,338887,0.6138
1500,nearly_sorted,standard_quicksort,325728,0.75776
1600,random,standard_quicksort,349522,0.82506
1600,reversed,standard_quicksort,363453,0.81066
1600,nearly_sorted,standard_quicksort,344492,0.62316
1700,random,standard_quicksort,364460,0.77002
1700,reversed,standard_quicksort,386847,0.61124
1700,nearly_sorted,standard_quicksort,373900,0.6452
1800,random,standard_quicksort,394243,0.99826
1800,reversed,standard_quicksort,411332,0.6655
1800,nearly_sorted,standard_quicksort,393021,0.70518
1900,random,standard_quicksort,414049,0.922
1900,reversed,standard_quicksort,432690,0.7147
1900,nearly_sorted,standard_quicksort,412367,0.74808
2000,random,standard_quicksort,438986,0.941
2000,reversed,standard_quicksort,454174,0.78146
2000,nearly_sorted,standard_quicksort,434158,0.82324
2100,random,standard_quicksort,458965,1.27012
2100,reversed,standard_quicksort,478884,0.81168
2100,nearly_sorted,standard_quicksort,455658,0.84562
2200,random,standard_quicksort,480292,1.05246
2200,reversed,standard_quicksort,500752,0.85336
2200,nearly_sorted,standard_quicksort,472634,0.9001
2300,random,standard_quicksort,498339,1.06218
2300,reversed,standard_quicksort,524355,0.8855
2300,nearly_sorted,standard_quicksort,499931,0.91852
2400,random,standard_quicksort,526066,1.12904
2400,reversed,standard_quicksort,548336,0.90778
2400,nearly_sorted,standard_quicksort,521527,0.92002
2500,random,standard_quicksort,542129,1.17424
2500,reversed,standard_quicksort,572365,1.10392
2500,nearly_sorted,standard_quicksort,542191,0.98228
2600,random,standard_quicksort,560081,1.20404
2600,reversed,standard_quicksort,593886,0.99814
2600,nearly_sorted,standard_quicksort,567305,1.037
2700,random,standard_quicksort,589000,1.26104
2700,reversed,standard_quicksort,616729,1.35922
2700,nearly_sorted,standard_quicksort,585630,1.04614
2800,random,standard_quicksort,611554,1.32762
2800,reversed,standard_quicksort,641279,1.09146
2800,nearly_sorted,standard_quicksort,595091,1.09004
2900,random,standard_quicksort,627672,1.38498
2900,reversed,standard_quicksort,662713,1.17366
2900,nearly_sorted,standard_quicksort,593125,1.17006
3000,random,standard_quicksort,656474,1.87918
3000,reversed,standard_quicksort,684685,1.24602
3000,nearly_sorted,standard_quicksort,682773,1.24648
