size,type,algorithm,comparisons,time_ms
100,random,string_mergesort,499,0.11574
100,reversed,string_mergesort,353,0.07416
100,nearly_sorted,string_mergesort,379,0.08278
200,random,string_mergesort,1164,0.29946
200,reversed,string_mergesort,711,0.27886
200,nearly_sorted,string_mergesort,856,0.24824
300,random,string_mergesort,1913,0.2802
300,reversed,string_mergesort,1063,0.25258
300,nearly_sorted,string_mergesort,1221,0.26002
400,random,string_mergesort,2696,0.40232
400,reversed,string_mergesort,1476,0.36824
400,nearly_sorted,string_mergesort,1700,0.3753
500,random,string_mergesort,3477,0.54302
500,reversed,string_mergesort,1891,0.49382
500,nearly_sorted,string_mergesort,2014,0.51452
600,random,string_mergesort,4319,0.67984
600,reversed,string_mergesort,2167,0.6089
600,nearly_sorted,string_mergesort,2513,0.6443
700,random,string_mergesort,5235,0.82136
700,reversed,string_mergesort,2563,0.72632
700,nearly_sorted,string_mergesort,2929,0.74194
800,random,string_mergesort,6048,0.96976
800,reversed,string_mergesort,2907,0.83738
800,nearly_sorted,string_mergesort,3365,0.8726
900,random,string_mergesort,6937,1.19214
900,reversed,string_mergesort,3302,0.96712
900,nearly_sorted,string_mergesort,3732,1.0193
1000,random,string_mergesort,7814,1.3253
1000,reversed,string_mergesort,3752,1.17118
1000,nearly_sorted,string_mergesort,4117,1.232
1100,random,string_mergesort,8784,1.83276
1100,reversed,string_mergesort,4009,1.45978
1100,nearly_sorted,string_mergesort,4681,1.2201
1200,random,string_mergesort,9707,1.57812
1200,reversed,string_mergesort,4321,1.40836
1200,nearly_sorted,string_mergesort,5096,1.37756
1300,random,string_mergesort,10615,1.60618
1300,reversed,string_mergesort,4618,1.52692
1300,nearly_sorted,string_mergesort,5500,1.53552
1400,random,string_mergesort,11712,1.8179
1400,reversed,string_mergesort,5060,1.64114
1400,nearly_sorted,string_mergesort,6062,1.70328
1500,random,string_mergesort,12571,1.939
1500,reversed,string_mergesort,5472,1.8041
1500,nearly_sorted,string_mergesort,6512,1.98404
1600,random,string_mergesort,13566,2.19738
1600,reversed,string_mergesort,5788,1.94826
1600,nearly_sorted,string_mergesort,7010,2.00394
1700,random,string_mergesort,14522,2.14826
1700,reversed,string_mergesort,6244,2.16216
1700,nearly_sorted,string_mergesort,7352,2.14542
1800,random,string_mergesort,15519,2.47164
1800,reversed,string_mergesort,6606,2.31184
1800,nearly_sorted,string_mergesort,7728,2.49154
1900,random,string_mergesort,16518,2.8402
1900,reversed,string_mergesort,7080,2.33714
1900,nearly_sorted,string_mergesort,8164,3.1561
2000,random,string_mergesort,17500,2.75898
2000,reversed,string_mergesort,7510,2.51672
2000,nearly_sorted,string_mergesort,8477,2.49102
2100,random,string_mergesort,18537,2.84636
2100,reversed,string_mergesort,7880,2.65104
2100,nearly_sorted,string_mergesort,9012,2.59426
2200,random,string_mergesort,19564,3.02612
2200,reversed,string_mergesort,8003,2.82412
2200,nearly_sorted,string_mergesort,9780,2.9275
2300,random,string_mergesort,20525,2.71566
2300,reversed,string_mergesort,8481,2.46248
2300,nearly_sorted,string_mergesort,10194,2.67432
2400,random,string_mergesort,21616,3.39964
2400,reversed,string_mergesort,8754,3.01256
2400,nearly_sorted,string_mergesort,10747,3.1806
2500,random,string_mergesort,22649,3.35414
2500,reversed,string_mergesort,9064,2.88456
2500,nearly_sorted,string_mergesort,11193,2.91626
2600,random,string_mergesort,23606,3.72236
2600,reversed,string_mergesort,9489,3.658
2600,nearly_sorted,string_mergesort,11665,3.6329
2700,random,string_mergesort,24753,4.04818
2700,reversed,string_mergesort,9751,3.2132
2700,nearly_sorted,string_mergesort,12032,2.86058
2800,random,string_mergesort,25867,3.46634
2800,reversed,string_mergesort,10181,3.53974
2800,nearly_sorted,string_mergesort,12816,3.26424
2900,random,string_mergesort,26944,3.7891
2900,reversed,string_mergesort,10651,3.83088
2900,nearly_sorted,string_mergesort,13203,3.7082
3000,random,string_mergesort,27896,3.98694
3000,reversed,string_mergesort,10932,3.92998
3000,nearly_sorted,string_mergesort,13706,3.75196
