size,type,algorithm,comparisons,time_ms
100,random,ternary_string_quicksort,570,0.00316
100,reversed,ternary_string_quicksort,1235,0.0033
100,nearly_sorted,ternary_string_quicksort,772,0.00322
200,random,ternary_string_quicksort,1284,0.0056
200,reversed,ternary_string_quicksort,2876,0.00676
200,nearly_sorted,ternary_string_quicksort,1977,0.00612
300,random,ternary_string_quicksort,2199,0.01004
300,reversed,ternary_string_quicksort,4412,0.01048
300,nearly_sorted,ternary_string_quicksort,3529,0.01006
400,random,ternary_string_quicksort,3189,0.01608
400,reversed,ternary_string_quicksort,6156,0.01412
400,nearly_sorted,ternary_string_quicksort,5225,0.01518
500,random,ternary_string_quicksort,3919,0.01908
500,reversed,ternary_string_quicksort,8906,0.02074
500,nearly_sorted,ternary_string_quicksort,7300,0.0208
600,random,ternary_string_quicksort,5034,0.02608
600,reversed,ternary_string_quicksort,10925,0.02526
600,nearly_sorted,ternary_string_quicksort,9581,0.02526
700,random,ternary_string_quicksort,5842,0.03476
700,reversed,ternary_string_quicksort,13009,0.02946
700,nearly_sorted,ternary_string_quicksort,12239,0.03148
800,random,ternary_string_quicksort,7023,0.04404
800,reversed,ternary_string_quicksort,16392,0.03606
800,nearly_sorted,ternary_string_quicksort,14516,0.03914
900,random,ternary_string_quicksort,8463,0.0508
900,reversed,ternary_string_quicksort,18999,0.04184
900,nearly_sorted,ternary_string_quicksort,17564,0.04566
1000,random,ternary_string_quicksort,9318,0.06342
1000,reversed,ternary_string_quicksort,23044,0.05132
1000,nearly_sorted,ternary_string_quicksort,20908,0.05736
1100,random,ternary_string_quicksort,10703,0.07092
1100,reversed,ternary_string_quicksort,27511,0.0623
1100,nearly_sorted,ternary_string_quicksort,21605,0.06062
1200,random,ternary_string_quicksort,11218,0.0757
1200,reversed,ternary_string_quicksort,30246,0.0709
1200,nearly_sorted,ternary_string_quicksort,22884,0.0661
1300,random,ternary_string_quicksort,12538,0.08768
1300,reversed,ternary_string_quicksort,34865,0.08354
1300,nearly_sorted,ternary_string_quicksort,24544,0.07228
1400,random,ternary_string_quicksort,13744,0.09822
1400,reversed,ternary_string_quicksort,39167,0.0901
1400,nearly_sorted,ternary_string_quicksort,26209,0.0787
1500,random,ternary_string_quicksort,14833,0.10506
1500,reversed,ternary_string_quicksort,42957,0.09844
1500,nearly_sorted,ternary_string_quicksort,28077,0.08408
1600,random,ternary_string_quicksort,16920,0.11454
1600,reversed,ternary_string_quicksort,47529,0.10904
1600,nearly_sorted,ternary_string_quicksort,29900,0.09186
1700,random,ternary_string_quicksort,16816,0.12312
1700,reversed,ternary_string_quicksort,53366,0.12386
1700,nearly_sorted,ternary_string_quicksort,47071,0.1302
1800,random,ternary_string_quicksort,19060,0.13292
1800,reversed,ternary_string_quicksort,58801,0.1358
1800,nearly_sorted,ternary_string_quicksort,48541,0.13858
1900,random,ternary_string_quicksort,19425,0.1375
1900,reversed,ternary_string_quicksort,64406,0.14106
1900,nearly_sorted,ternary_string_quicksort,58358,0.15848
2000,random,ternary_string_quicksort,20976,0.14626
2000,reversed,ternary_string_quicksort,71248,0.15256
2000,nearly_sorted,ternary_string_quicksort,64487,0.16864
2100,random,ternary_string_quicksort,21760,0.1565
2100,reversed,ternary_string_quicksort,76795,0.16898
2100,nearly_sorted,ternary_string_quicksort,70776,0.18434
2200,random,ternary_string_quicksort,23092,0.157
2200,reversed,ternary_string_quicksort,83266,0.17394
2200,nearly_sorted,ternary_string_quicksort,77755,0.2053
2300,random,ternary_string_quicksort,23526,0.17236
2300,reversed,ternary_string_quicksort,90605,0.19104
2300,nearly_sorted,ternary_string_quicksort,77680,0.20356
2400,random,ternary_string_quicksort,26156,0.18168
2400,reversed,ternary_string_quicksort,98321,0.2114
2400,nearly_sorted,ternary_string_quicksort,88295,0.23402
2500,random,ternary_string_quicksort,26885,0.19632
2500,reversed,ternary_string_quicksort,103950,0.23096
2500,nearly_sorted,ternary_string_quicksort,96477,0.26448
2600,random,ternary_string_quicksort,27701,0.20614
2600,reversed,ternary_string_quicksort,110677,0.24146
2600,nearly_sorted,ternary_string_quicksort,94273,0.25956
2700,random,ternary_string_quicksort,29104,0.21484
2700,reversed,ternary_string_quicksort,120114,0.26016
2700,nearly_sorted,ternary_string_quicksort,108045,0.29272
2800,random,ternary_string_quicksort,30614,0.22496
2800,reversed,ternary_string_quicksort,126231,0.27852
2800,nearly_sorted,ternary_string_quicksort,100112,0.28634
2900,random,ternary_string_quicksort,32105,0.22918
2900,reversed,ternary_string_quicksort,135543,0.2835
2900,nearly_sorted,ternary_string_quicksort,102790,0.28104
3000,random,ternary_string_quicksort,33529,0.23498
3000,reversed,ternary_string_quicksort,144869,0.29446
3000,nearly_sorted,ternary_string_quicksort,96106,0.27138
