,,time_ms,time_ms,comparisons,comparisons
,,mean,std,mean,std
algorithm,type,,,,
msd_radix_sort,nearly_sorted,0.64,0.36,3722.77,2134.43
msd_radix_sort,random,0.66,0.44,3568.83,2164.39
msd_radix_sort,reversed,0.69,0.42,3749.77,2143.37
msd_radix_sort_hybrid,nearly_sorted,0.19,0.11,11259.6,6389.68
msd_radix_sort_hybrid,random,0.22,0.13,7616.7,5299.19
msd_radix_sort_hybrid,reversed,0.22,0.13,26366.8,14880.88
standard_mergesort,nearly_sorted,1.64,1.02,18568.73,11569.94
standard_mergesort,random,1.83,1.18,20755.67,13590.55
standard_mergesort,reversed,1.65,1.02,12804.3,7691.25
standard_quicksort,nearly_sorted,0.63,0.35,333709.2,192762.02
standard_quicksort,random,0.76,0.47,336914.47,192442.07
standard_quicksort,reversed,0.65,0.37,353010.03,201528.85
string_mergesort,nearly_sorted,1.92,1.16,6791.87,4026.05
string_mergesort,random,2.07,1.23,13435.77,8440.59
string_mergesort,reversed,1.9,1.16,5669.3,3220.83
ternary_string_quicksort,nearly_sorted,0.13,0.1,45919.87,36536.93
ternary_string_quicksort,random,0.11,0.07,15918.2,10047.77
ternary_string_quicksort,reversed,0.12,0.09,55547.37,44166.03
